Name,,Lab_L,Lab_a,Lab_b,ink1,ink2,ink3,ink4,%1,%2,%3,%4
PANTONE 2603 C,,26,46.265625,-40.8320312,PANTONE Yellow 506,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2603 C,,26,46.265625,-40.8320312,PANTONE Yellow 507,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2613 C,,24,42.6835938,-36.5742188,PANTONE Yellow 508,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2613 C,,24,42.6835938,-36.5742188,PANTONE Yellow 509,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2623 C,,22,36.8867188,-30.0117188,PANTONE Yellow 510,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2623 C,,22,36.8867188,-30.0117188,PANTONE Yellow 511,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2567 C,,68,21.9179688,-28.171875,PANTONE Yellow 512,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2567 C,,68,21.9179688,-28.171875,PANTONE Yellow 513,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2577 C,,56,30.2851562,-37.734375,PANTONE Yellow 514,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2577 C,,56,30.2851562,-37.734375,PANTONE Yellow 515,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2587 C,,42,41.3984375,-48.7109375,PANTONE Yellow 516,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2587 C,,42,41.3984375,-48.7109375,PANTONE Yellow 517,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2597 C,,23,50.125,-54.625,PANTONE Yellow 518,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2597 C,,23,50.125,-54.625,PANTONE Yellow 519,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2607 C,,19,45.984375,-50.1757812,PANTONE Yellow 520,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2607 C,,19,45.984375,-50.1757812,PANTONE Yellow 521,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2617 C,,19,40.8789062,-44.2578125,PANTONE Yellow 522,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2617 C,,19,40.8789062,-44.2578125,PANTONE Yellow 523,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2627 C,,17,33.734375,-35.5859375,PANTONE Yellow 524,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2627 C,,17,33.734375,-35.5859375,PANTONE Yellow 525,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 263 C,,83,8.8164062,-14.390625,PANTONE Yellow 526,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 263 C,,83,8.8164062,-14.390625,PANTONE Yellow 527,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 264 C,,72,17.3554688,-28.8515625,PANTONE Yellow 528,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 264 C,,72,17.3554688,-28.8515625,PANTONE Yellow 529,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 265 C,,50,33.6992188,-51.5,PANTONE Yellow 530,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 265 C,,50,33.6992188,-51.5,PANTONE Yellow 531,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 266 C,,34,46.0664062,-64.4140625,PANTONE Yellow 532,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 266 C,,34,46.0664062,-64.4140625,PANTONE Yellow 533,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 267 C,,25,40.8945312,-54.5625,PANTONE Yellow 534,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 267 C,,25,40.8945312,-54.5625,PANTONE Yellow 535,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 268 C,,23,35.171875,-45.7421875,PANTONE Yellow 536,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 268 C,,23,35.171875,-45.7421875,PANTONE Yellow 537,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 269 C,,22,25.4882812,-31.09375,PANTONE Yellow 538,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 269 C,,22,25.4882812,-31.09375,PANTONE Yellow 539,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2635 C,,74,14.1679688,-24.9414062,PANTONE Yellow 540,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2635 C,,74,14.1679688,-24.9414062,PANTONE Yellow 541,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2645 C,,65,20.1992188,-34.890625,PANTONE Yellow 542,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2645 C,,65,20.1992188,-34.890625,PANTONE Yellow 543,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2655 C,,54,28.4570312,-46.453125,PANTONE Yellow 544,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2655 C,,54,28.4570312,-46.453125,PANTONE Yellow 545,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2665 C,,44,36.8476562,-56.3789062,PANTONE Yellow 546,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2665 C,,44,36.8476562,-56.3789062,PANTONE Yellow 547,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2685 C,,16,47.8828125,-61.328125,PANTONE Yellow 548,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2685 C,,16,47.8828125,-61.328125,PANTONE Yellow 549,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2695 C,,17,23.7617188,-32.125,PANTONE Yellow 550,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2695 C,,17,23.7617188,-32.125,PANTONE Yellow 551,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 270 C,,71,8.2890625,-24.0117188,PANTONE Yellow 552,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 270 C,,71,8.2890625,-24.0117188,PANTONE Yellow 553,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 271 C,,61,12.5976562,-33.8710938,PANTONE Yellow 554,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 271 C,,61,12.5976562,-33.8710938,PANTONE Yellow 555,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 272 C,,51,16.75,-41.0039062,PANTONE Yellow 556,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 272 C,,51,16.75,-41.0039062,PANTONE Yellow 557,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 273 C,,16,32.328125,-55.0546875,PANTONE Yellow 558,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 273 C,,16,32.328125,-55.0546875,PANTONE Yellow 559,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 274 C,,13,27.6796875,-47.4257812,PANTONE Yellow 560,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 274 C,,13,27.6796875,-47.4257812,PANTONE Yellow 561,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 275 C,,11,23.5039062,-40.6992188,PANTONE Yellow 562,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 275 C,,11,23.5039062,-40.6992188,PANTONE Yellow 563,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 276 C,,12,13.5703125,-24.9492188,PANTONE Yellow 564,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 276 C,,12,13.5703125,-24.9492188,PANTONE Yellow 565,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2705 C,,67,11.8476562,-33.0820312,PANTONE Yellow 566,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2705 C,,67,11.8476562,-33.0820312,PANTONE Yellow 567,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2715 C,,56,17.5898438,-44.5742188,PANTONE Yellow 568,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2715 C,,56,17.5898438,-44.5742188,PANTONE Yellow 569,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2725 C,,41,28.890625,-59.6210938,PANTONE Yellow 570,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2725 C,,41,28.890625,-59.6210938,PANTONE Yellow 571,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2735 C,,14,53.6914062,-74.4882812,PANTONE Yellow 572,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2735 C,,14,53.6914062,-74.4882812,PANTONE Yellow 573,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2745 C,,12,42.9453125,-62.46875,PANTONE Yellow 574,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2745 C,,12,42.9453125,-62.46875,PANTONE Yellow 575,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2755 C,,9,37.2265625,-55.0078125,PANTONE Yellow 576,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2755 C,,9,37.2265625,-55.0078125,PANTONE Yellow 577,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2765 C,,9,25.8203125,-42.1601562,PANTONE Yellow 578,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2765 C,,9,25.8203125,-42.1601562,PANTONE Yellow 579,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2706 C,,81,2.1484375,-16.1914062,PANTONE Yellow 580,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2706 C,,81,2.1484375,-16.1914062,PANTONE Yellow 581,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2716 C,,66,7.1679688,-35.0625,PANTONE Yellow 582,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2716 C,,66,7.1679688,-35.0625,PANTONE Yellow 583,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2726 C,,39,23.2460938,-63.1601562,PANTONE Yellow 584,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2726 C,,39,23.2460938,-63.1601562,PANTONE Yellow 585,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2736 C,,23,40.1445312,-74.9023438,PANTONE Yellow 586,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2736 C,,23,40.1445312,-74.9023438,PANTONE Yellow 587,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2746 C,,19,35.5117188,-66.8984375,PANTONE Yellow 588,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2746 C,,19,35.5117188,-66.8984375,PANTONE Yellow 589,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2756 C,,15,22.953125,-49.7109375,PANTONE Yellow 590,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2756 C,,15,22.953125,-49.7109375,PANTONE Yellow 591,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2766 C,,13,14.484375,-36.3476562,PANTONE Yellow 592,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2766 C,,13,14.484375,-36.3476562,PANTONE Yellow 593,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2707 C,,82,-1.7734375,-16.71875,PANTONE Yellow 594,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2707 C,,82,-1.7734375,-16.71875,PANTONE Yellow 595,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2717 C,,75,-1.9335938,-26.4101562,PANTONE Yellow 596,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2717 C,,75,-1.9335938,-26.4101562,PANTONE Yellow 597,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2727 C,,50,5.6679688,-58.4140625,PANTONE Yellow 598,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2727 C,,50,5.6679688,-58.4140625,PANTONE Yellow 599,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2747 C,,17,20.2382812,-56.7578125,PANTONE Yellow 600,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2747 C,,17,20.2382812,-56.7578125,PANTONE Yellow 601,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2757 C,,14,12.6835938,-44.6757812,PANTONE Yellow 602,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2757 C,,14,12.6835938,-44.6757812,PANTONE Yellow 603,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2767 C,,13,2.3085938,-24.71875,PANTONE Yellow 604,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2767 C,,13,2.3085938,-24.71875,PANTONE Yellow 605,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2708 C,,78,-0.6015625,-20.890625,PANTONE Yellow 606,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2708 C,,78,-0.6015625,-20.890625,PANTONE Yellow 607,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2718 C,,52,7.0078125,-51.703125,PANTONE Yellow 608,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2718 C,,52,7.0078125,-51.703125,PANTONE Yellow 609,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2728 C,,33,20.4179688,-68.6601562,PANTONE Yellow 610,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2728 C,,33,20.4179688,-68.6601562,PANTONE Yellow 611,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2738 C,,17,40.59375,-75.3867188,PANTONE Yellow 612,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2738 C,,17,40.59375,-75.3867188,PANTONE Yellow 613,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2748 C,,14,25.7226562,-58.0117188,PANTONE Yellow 614,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2748 C,,14,25.7226562,-58.0117188,PANTONE Yellow 615,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2758 C,,13,17.6679688,-47.7929688,PANTONE Yellow 616,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2758 C,,13,17.6679688,-47.7929688,PANTONE Yellow 617,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2768 C,,12,9.0195312,-34.5742188,PANTONE Yellow 618,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2768 C,,12,9.0195312,-34.5742188,PANTONE Yellow 619,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 277 C,,78,-4.1914062,-21.8085938,PANTONE Yellow 620,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 277 C,,78,-4.1914062,-21.8085938,PANTONE Yellow 621,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 278 C,,71,-4.453125,-31.0742188,PANTONE Yellow 622,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 278 C,,71,-4.453125,-31.0742188,PANTONE Yellow 623,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 279 C,,55,-1.9804688,-50.2539062,PANTONE Yellow 624,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 279 C,,55,-1.9804688,-50.2539062,PANTONE Yellow 625,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 280 C,,17,16.4960938,-56.9453125,PANTONE Yellow 626,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 280 C,,17,16.4960938,-56.9453125,PANTONE Yellow 627,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 281 C,,15,9.8203125,-46.2382812,PANTONE Yellow 628,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 281 C,,15,9.8203125,-46.2382812,PANTONE Yellow 629,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 282 C,,12,3.0625,-33.2539062,PANTONE Yellow 630,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 282 C,,12,3.0625,-33.2539062,PANTONE Yellow 631,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 283 C,,75,-7.0390625,-26.7148438,PANTONE Yellow 632,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 283 C,,75,-7.0390625,-26.7148438,PANTONE Yellow 633,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 284 C,,67,-7.5390625,-36.7929688,PANTONE Yellow 634,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 284 C,,67,-7.5390625,-36.7929688,PANTONE Yellow 635,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 285 C,,47,-3.3320312,-58.203125,PANTONE Yellow 636,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 285 C,,47,-3.3320312,-58.203125,PANTONE Yellow 637,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 286 C,,24,20.875,-72.8710938,PANTONE Yellow 638,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 286 C,,24,20.875,-72.8710938,PANTONE Yellow 639,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 287 C,,23,11.5898438,-62.1992188,PANTONE Yellow 640,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 287 C,,23,11.5898438,-62.1992188,PANTONE Yellow 641,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 288 C,,20,8.7890625,-54.2617188,PANTONE Yellow 642,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 288 C,,20,8.7890625,-54.2617188,PANTONE Yellow 643,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 289 C,,12,-0.8515625,-30.2421875,PANTONE Yellow 644,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 289 C,,12,-0.8515625,-30.2421875,PANTONE Yellow 645,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 290 C,,85,-6.3789062,-12.71875,PANTONE Yellow 646,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 290 C,,85,-6.3789062,-12.71875,PANTONE Yellow 647,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 291 C,,80,-8.8632812,-20.0703125,PANTONE Yellow 648,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 291 C,,80,-8.8632812,-20.0703125,PANTONE Yellow 649,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 292 C,,69,-11.7617188,-34.28125,PANTONE Yellow 650,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 292 C,,69,-11.7617188,-34.28125,PANTONE Yellow 651,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 293 C,,29,9.28125,-70.4921875,PANTONE Yellow 652,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 293 C,,29,9.28125,-70.4921875,PANTONE Yellow 653,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 294 C,,21,1.6796875,-50.5703125,PANTONE Yellow 654,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 294 C,,21,1.6796875,-50.5703125,PANTONE Yellow 655,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 295 C,,16,-1.7109375,-39.3125,PANTONE Yellow 656,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 295 C,,16,-1.7109375,-39.3125,PANTONE Yellow 657,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 296 C,,13,-7.546875,-21.0898438,PANTONE Yellow 658,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 296 C,,13,-7.546875,-21.0898438,PANTONE Yellow 659,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2905 C,,78,-11.8828125,-22.9296875,PANTONE Yellow 660,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2905 C,,78,-11.8828125,-22.9296875,PANTONE Yellow 661,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2915 C,,69,-14.8125,-33.7109375,PANTONE Yellow 662,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 2915 C,,69,-14.8125,-33.7109375,PANTONE Yellow 663,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
